DIVA;MessageValue;MessageCode
60200001;OK;1
60200002;OK;1
60200003;OK;1
60200004;OK;1
60200005;OK;1
60200006;OK;1
60200007;OK;1
60200008;OK;1
60200009;OK;1
60200010;OK;1
60200011;OK;1
60200012;OK;1
60200013;Haltepunkt existiert nicht!;312
60200014;OK;1
60200015;OK;1
60200016;OK;1
60200017;OK;1
60200018;OK;1
60200019;OK;1
60200020;Abfragelimit erreicht!;316
60200021;OK;1
60200022;OK;1
60200023;Abfragelimit erreicht!;316
60200024;OK;1
60200025;OK;1
60200026;OK;1
60200027;Abfragelimit erreicht!;316
60200028;OK;1
60200029;Abfragelimit erreicht!;316
60200030;OK;1
60200031;OK;1
60200032;Abfragelimit erreicht!;316
60200033;OK;1
60200034;Abfragelimit erreicht!;316
60200035;Abfragelimit erreicht!;316
60200036;OK;1
60200037;OK;1
60200038;OK;1
60200039;OK;1
60200040;OK;1
60200041;OK;1
60200042;OK;1
60200043;OK;1
60200044;OK;1
60200045;OK;1
60200046;OK;1
60200047;Haltepunkt existiert nicht!;312
60200048;OK;1
60200049;Abfragelimit erreicht!;316
60200050;OK;1
60200051;OK;1
60200052;Abfragelimit erreicht!;316
60200053;OK;1
60200054;OK;1
60200055;OK;1
60200056;OK;1
60200057;OK;1
60200058;Abfragelimit erreicht!;316
60200059;OK;1
60200060;OK;1
60200061;OK;1
60200062;Abfragelimit erreicht!;316
60200063;Abfragelimit erreicht!;316
60200065;Abfragelimit erreicht!;316
60200066;OK;1
60200067;OK;1
60200068;Abfragelimit erreicht!;316
60200069;Abfragelimit erreicht!;316
60200070;OK;1
60200071;Abfragelimit erreicht!;316
60200072;Abfragelimit erreicht!;316
60200073;OK;1
60200074;OK;1
60200075;OK;1
60200076;Abfragelimit erreicht!;316
60200077;OK;1
60200078;OK;1
60200079;OK;1
60200080;OK;1
60200081;OK;1
60200082;OK;1
60200083;OK;1
60200084;OK;1
60200085;OK;1
60200086;OK;1
60200087;OK;1
60200088;OK;1
60200089;OK;1
60200090;OK;1
60200092;OK;1
60200093;OK;1
60200094;OK;1
60200095;OK;1
60200096;OK;1
60200098;OK;1
60200099;OK;1
60200100;OK;1
60200101;OK;1
60200102;OK;1
60200103;Abfragelimit erreicht!;316
60200104;OK;1
60200105;OK;1
60200106;OK;1
60200107;Abfragelimit erreicht!;316
60200108;OK;1
60200109;OK;1
60200110;OK;1
60200111;OK;1
60200112;OK;1
60200113;OK;1
60200114;OK;1
60200115;Abfragelimit erreicht!;316
60200116;OK;1
60200117;OK;1
60200118;OK;1
60200119;OK;1
60200120;OK;1
60200121;OK;1
60200122;OK;1
60200123;OK;1
60200124;Abfragelimit erreicht!;316
60200125;OK;1
60200127;OK;1
60200128;Abfragelimit erreicht!;316
60200129;OK;1
60200130;OK;1
60200131;OK;1
60200132;OK;1
60200133;OK;1
60200134;OK;1
60200135;OK;1
60200136;OK;1
60200137;Abfragelimit erreicht!;316
60200138;OK;1
60200139;OK;1
60200140;OK;1
60200141;OK;1
60200142;Abfragelimit erreicht!;316
60200143;OK;1
60200144;Abfragelimit erreicht!;316
60200145;OK;1
60200146;OK;1
60200147;OK;1
60200148;OK;1
60200149;OK;1
60200150;OK;1
60200152;Haltepunkt existiert nicht!;312
60200153;OK;1
60200155;Abfragelimit erreicht!;316
60200156;OK;1
60200157;OK;1
60200158;OK;1
60200159;OK;1
60200160;OK;1
60200161;OK;1
60200162;OK;1
60200163;OK;1
60200164;OK;1
60200165;Abfragelimit erreicht!;316
60200166;OK;1
60200167;OK;1
60200168;OK;1
60200169;OK;1
60200170;OK;1
60200171;OK;1
60200172;OK;1
60200173;OK;1
60200174;OK;1
60200175;OK;1
60200176;OK;1
60200177;OK;1
60200178;OK;1
60200179;OK;1
60200180;OK;1
60200181;OK;1
60200182;OK;1
60200183;OK;1
60200184;OK;1
60200185;OK;1
60200186;OK;1
60200187;OK;1
60200188;OK;1
60200189;OK;1
60200190;OK;1
60200191;Haltepunkt existiert nicht!;312
60200192;OK;1
60200193;OK;1
60200194;OK;1
60200195;Request failed with status code 504;
60200196;Request failed with status code 504;
60200197;OK;1
60200198;Abfragelimit erreicht!;316
60200199;OK;1
60200200;OK;1
60200201;OK;1
60200202;OK;1
60200203;OK;1
60200204;OK;1
60200206;OK;1
60200207;OK;1
60200208;OK;1
60200209;OK;1
60200210;OK;1
60200211;OK;1
60200212;OK;1
60200213;OK;1
60200214;OK;1
60200215;OK;1
60200216;OK;1
60200217;OK;1
60200218;OK;1
60200219;OK;1
60200220;OK;1
60200221;OK;1
60200222;Abfragelimit erreicht!;316
60200223;OK;1
60200224;OK;1
60200225;OK;1
60200226;OK;1
60200227;OK;1
60200228;Abfragelimit erreicht!;316
60200229;OK;1
60200230;Haltepunkt existiert nicht!;312
60200231;OK;1
60200232;OK;1
60200233;OK;1
60200234;Abfragelimit erreicht!;316
60200235;Abfragelimit erreicht!;316
60200236;OK;1
60200237;Haltepunkt existiert nicht!;312
60200238;OK;1
60200239;OK;1
60200240;OK;1
60200241;OK;1
60200242;OK;1
60200243;Abfragelimit erreicht!;316
60200244;Abfragelimit erreicht!;316
60200245;Abfragelimit erreicht!;316
60200246;OK;1
60200247;OK;1
60200248;OK;1
60200249;Abfragelimit erreicht!;316
60200250;OK;1
60200251;Abfragelimit erreicht!;316
60200252;OK;1
60200253;OK;1
60200254;Abfragelimit erreicht!;316
60200255;OK;1
60200256;OK;1
60200257;OK;1
60200258;OK;1
60200259;OK;1
60200260;OK;1
60200261;OK;1
60200262;OK;1
60200263;OK;1
60200264;OK;1
60200266;OK;1
60200267;OK;1
60200268;OK;1
60200269;OK;1
60200270;OK;1
60200271;OK;1
60200272;OK;1
60200273;OK;1
60200274;OK;1
60200275;OK;1
60200276;OK;1
60200277;OK;1
60200278;OK;1
60200279;Abfragelimit erreicht!;316
60200280;OK;1
60200281;OK;1
60200282;OK;1
60200283;OK;1
60200285;OK;1
60200286;Abfragelimit erreicht!;316
60200287;Abfragelimit erreicht!;316
60200288;OK;1
60200289;OK;1
60200290;OK;1
60200291;OK;1
60200292;OK;1
60200293;OK;1
60200294;OK;1
60200295;OK;1
60200296;OK;1
60200297;OK;1
60200298;OK;1
60200299;OK;1
60200300;OK;1
60200301;OK;1
60200302;OK;1
60200303;OK;1
60200304;OK;1
60200305;OK;1
60200306;OK;1
60200307;Abfragelimit erreicht!;316
60200308;Abfragelimit erreicht!;316
60200309;Abfragelimit erreicht!;316
60200311;OK;1
60200312;OK;1
60200314;OK;1
60200315;OK;1
60200316;OK;1
60200317;OK;1
60200318;Abfragelimit erreicht!;316
60200319;OK;1
60200320;OK;1
60200321;OK;1
60200322;OK;1
60200323;OK;1
60200324;Abfragelimit erreicht!;316
60200325;OK;1
60200327;Haltepunkt existiert nicht!;312
60200329;OK;1
60200330;OK;1
60200331;OK;1
60200332;OK;1
60200333;OK;1
60200334;OK;1
60200335;OK;1
60200336;OK;1
60200337;OK;1
60200338;OK;1
60200339;OK;1
60200340;Haltepunkt existiert nicht!;312
60200341;OK;1
60200342;OK;1
60200343;Abfragelimit erreicht!;316
60200344;OK;1
60200345;OK;1
60200346;Abfragelimit erreicht!;316
60200347;OK;1
60200348;OK;1
60200349;OK;1
60200350;OK;1
60200351;OK;1
60200352;OK;1
60200353;OK;1
60200354;OK;1
60200355;OK;1
60200357;OK;1
60200358;OK;1
60200359;Abfragelimit erreicht!;316
60200360;Abfragelimit erreicht!;316
60200361;Abfragelimit erreicht!;316
60200362;OK;1
60200363;OK;1
60200364;OK;1
60200365;OK;1
60200366;Abfragelimit erreicht!;316
60200367;OK;1
60200368;OK;1
60200369;OK;1
60200370;OK;1
60200371;Abfragelimit erreicht!;316
60200372;OK;1
60200373;Haltepunkt existiert nicht!;312
60200374;Abfragelimit erreicht!;316
60200375;Haltepunkt existiert nicht!;312
60200376;OK;1
60200377;OK;1
60200378;OK;1
60200379;OK;1
60200380;OK;1
60200381;OK;1
60200382;OK;1
60200383;OK;1
60200384;OK;1
60200385;OK;1
60200386;Haltepunkt existiert nicht!;312
60200387;OK;1
60200388;OK;1
60200389;OK;1
60200390;OK;1
60200391;OK;1
60200392;Abfragelimit erreicht!;316
60200393;Abfragelimit erreicht!;316
60200394;Abfragelimit erreicht!;316
60200395;OK;1
60200396;OK;1
60200397;OK;1
60200399;OK;1
60200400;OK;1
60200401;OK;1
60200403;OK;1
60200404;OK;1
60200405;OK;1
60200406;Abfragelimit erreicht!;316
60200407;OK;1
60200408;OK;1
60200409;OK;1
60200410;OK;1
60200411;OK;1
60200412;OK;1
60200413;OK;1
60200414;OK;1
60200415;OK;1
60200416;OK;1
60200417;OK;1
60200418;OK;1
60200419;OK;1
60200420;OK;1
60200421;Abfragelimit erreicht!;316
60200422;OK;1
60200423;Haltepunkt existiert nicht!;312
60200424;OK;1
60200425;Abfragelimit erreicht!;316
60200426;OK;1
60200427;OK;1
60200428;OK;1
60200429;OK;1
60200430;OK;1
60200431;OK;1
60200432;OK;1
60200434;OK;1
60200435;OK;1
60200436;OK;1
60200437;OK;1
60200438;OK;1
60200439;OK;1
60200440;OK;1
60200441;OK;1
60200442;OK;1
60200443;OK;1
60200444;Abfragelimit erreicht!;316
60200445;OK;1
60200446;OK;1
60200447;OK;1
60200448;OK;1
60200449;OK;1
60200450;OK;1
60200451;Haltepunkt existiert nicht!;312
60200453;OK;1
60200454;OK;1
60200455;OK;1
60200456;OK;1
60200457;OK;1
60200458;OK;1
60200459;OK;1
60200460;OK;1
60200461;OK;1
60200462;Haltepunkt existiert nicht!;312
60200463;OK;1
60200464;OK;1
60200465;OK;1
60200466;OK;1
60200467;Abfragelimit erreicht!;316
60200468;Abfragelimit erreicht!;316
60200469;OK;1
60200470;Abfragelimit erreicht!;316
60200471;OK;1
60200472;OK;1
60200473;OK;1
60200474;OK;1
60200475;OK;1
60200476;OK;1
60200477;OK;1
60200478;Haltepunkt existiert nicht!;312
60200479;OK;1
60200482;OK;1
60200483;OK;1
60200484;Abfragelimit erreicht!;316
60200485;OK;1
60200486;OK;1
60200487;OK;1
60200488;OK;1
60200489;OK;1
60200491;OK;1
60200493;OK;1
60200494;OK;1
60200495;OK;1
60200498;OK;1
60200499;OK;1
60200500;OK;1
60200501;Abfragelimit erreicht!;316
60200502;Request failed with status code 502;
60200503;OK;1
60200504;Abfragelimit erreicht!;316
60200505;OK;1
60200506;OK;1
60200507;OK;1
60200508;OK;1
60200509;OK;1
60200510;OK;1
60200511;OK;1
60200512;OK;1
60200513;OK;1
60200514;OK;1
60200515;OK;1
60200516;OK;1
60200517;OK;1
60200520;OK;1
60200521;OK;1
60200523;OK;1
60200524;OK;1
60200525;OK;1
60200526;OK;1
60200527;OK;1
60200528;OK;1
60200529;OK;1
60200530;OK;1
60200531;OK;1
60200532;OK;1
60200533;Abfragelimit erreicht!;316
60200534;Abfragelimit erreicht!;316
60200535;OK;1
60200536;Haltepunkt existiert nicht!;312
60200537;OK;1
60200538;OK;1
60200539;OK;1
60200540;OK;1
60200541;Haltepunkt existiert nicht!;312
60200542;OK;1
60200543;OK;1
60200544;OK;1
60200545;Abfragelimit erreicht!;316
60200546;OK;1
60200547;Abfragelimit erreicht!;316
60200548;OK;1
60200549;OK;1
60200550;OK;1
60200551;OK;1
60200552;OK;1
60200553;OK;1
60200554;OK;1
60200555;OK;1
60200556;OK;1
60200557;OK;1
60200558;OK;1
60200559;OK;1
60200560;OK;1
60200561;OK;1
60200562;OK;1
60200563;Abfragelimit erreicht!;316
60200564;OK;1
60200565;OK;1
60200566;OK;1
60200567;Abfragelimit erreicht!;316
60200568;Abfragelimit erreicht!;316
60200569;OK;1
60200570;OK;1
60200571;Abfragelimit erreicht!;316
60200572;Abfragelimit erreicht!;316
60200574;Abfragelimit erreicht!;316
60200575;OK;1
60200576;OK;1
60200577;Abfragelimit erreicht!;316
60200578;OK;1
60200579;OK;1
60200580;OK;1
60200581;OK;1
60200582;OK;1
60200584;OK;1
60200585;OK;1
60200586;OK;1
60200587;OK;1
60200588;OK;1
60200589;OK;1
60200591;OK;1
60200592;OK;1
60200593;OK;1
60200594;OK;1
60200595;Abfragelimit erreicht!;316
60200596;OK;1
60200597;OK;1
60200598;OK;1
60200599;OK;1
60200600;OK;1
60200601;OK;1
60200602;OK;1
60200604;OK;1
60200605;OK;1
60200606;Abfragelimit erreicht!;316
60200607;Abfragelimit erreicht!;316
60200608;OK;1
60200609;OK;1
60200610;OK;1
60200611;OK;1
60200612;OK;1
60200613;OK;1
60200614;OK;1
60200615;OK;1
60200616;OK;1
60200617;OK;1
60200618;OK;1
60200619;OK;1
60200620;OK;1
60200621;OK;1
60200622;OK;1
60200623;OK;1
60200624;Abfragelimit erreicht!;316
60200625;OK;1
60200627;OK;1
60200628;OK;1
60200630;OK;1
60200631;OK;1
60200632;OK;1
60200633;Abfragelimit erreicht!;316
60200634;OK;1
60200635;Haltepunkt existiert nicht!;312
60200636;OK;1
60200637;OK;1
60200638;OK;1
60200639;OK;1
60200640;OK;1
60200641;OK;1
60200642;Abfragelimit erreicht!;316
60200643;OK;1
60200644;OK;1
60200645;OK;1
60200646;Abfragelimit erreicht!;316
60200647;Abfragelimit erreicht!;316
60200648;OK;1
60200649;OK;1
60200650;OK;1
60200651;OK;1
60200652;OK;1
60200653;OK;1
60200654;Abfragelimit erreicht!;316
60200655;Abfragelimit erreicht!;316
60200657;OK;1
60200658;OK;1
60200659;OK;1
60200660;OK;1
60200661;OK;1
60200662;OK;1
60200663;Haltepunkt existiert nicht!;312
60200664;OK;1
60200665;OK;1
60200666;OK;1
60200667;OK;1
60200668;OK;1
60200669;OK;1
60200670;OK;1
60200671;OK;1
60200672;OK;1
60200673;OK;1
60200674;OK;1
60200675;OK;1
60200676;OK;1
60200677;OK;1
60200679;OK;1
60200680;OK;1
60200681;OK;1
60200682;OK;1
60200683;OK;1
60200684;OK;1
60200685;OK;1
60200686;OK;1
60200687;OK;1
60200688;Abfragelimit erreicht!;316
60200689;Abfragelimit erreicht!;316
60200690;OK;1
60200692;OK;1
60200693;OK;1
60200694;OK;1
60200695;OK;1
60200696;OK;1
60200697;OK;1
60200698;OK;1
60200699;OK;1
60200700;Abfragelimit erreicht!;316
60200701;OK;1
60200702;OK;1
60200703;OK;1
60200704;OK;1
60200705;OK;1
60200706;OK;1
60200707;OK;1
60200708;Abfragelimit erreicht!;316
60200709;OK;1
60200710;OK;1
60200711;OK;1
60200712;OK;1
60200713;OK;1
60200714;OK;1
60200715;OK;1
60200716;OK;1
60200717;OK;1
60200718;OK;1
60200719;OK;1
60200720;OK;1
60200721;OK;1
60200722;OK;1
60200723;Abfragelimit erreicht!;316
60200724;OK;1
60200725;OK;1
60200726;Abfragelimit erreicht!;316
60200727;OK;1
60200728;OK;1
60200729;OK;1
60200730;OK;1
60200732;OK;1
60200733;Abfragelimit erreicht!;316
60200734;Abfragelimit erreicht!;316
60200735;OK;1
60200736;OK;1
60200737;Abfragelimit erreicht!;316
60200740;OK;1
60200741;OK;1
60200742;OK;1
60200743;OK;1
60200744;OK;1
60200745;OK;1
60200746;OK;1
60200747;OK;1
60200748;OK;1
60200749;OK;1
60200750;OK;1
60200751;OK;1
60200752;OK;1
60200753;OK;1
60200754;OK;1
60200755;OK;1
60200757;OK;1
60200758;OK;1
60200759;Abfragelimit erreicht!;316
60200760;OK;1
60200761;OK;1
60200762;OK;1
60200763;OK;1
60200764;OK;1
60200765;OK;1
60200766;OK;1
60200767;OK;1
60200768;OK;1
60200769;OK;1
60200770;Abfragelimit erreicht!;316
60200771;OK;1
60200772;Abfragelimit erreicht!;316
60200773;OK;1
60200774;OK;1
60200775;OK;1
60200776;OK;1
60200777;Abfragelimit erreicht!;316
60200778;OK;1
60200780;OK;1
60200781;OK;1
60200782;Abfragelimit erreicht!;316
60200783;OK;1
60200784;Abfragelimit erreicht!;316
60200785;OK;1
60200786;OK;1
60200787;Abfragelimit erreicht!;316
60200788;Abfragelimit erreicht!;316
60200789;OK;1
60200790;Abfragelimit erreicht!;316
60200791;OK;1
60200792;OK;1
60200793;OK;1
60200794;OK;1
60200796;OK;1
60200797;OK;1
60200798;Abfragelimit erreicht!;316
60200799;OK;1
60200800;OK;1
60200801;OK;1
60200803;OK;1
60200804;OK;1
60200805;OK;1
60200806;OK;1
60200807;OK;1
60200808;OK;1
60200809;OK;1
60200810;OK;1
60200811;OK;1
60200812;OK;1
60200813;OK;1
60200814;OK;1
60200815;OK;1
60200816;OK;1
60200817;Abfragelimit erreicht!;316
60200818;Abfragelimit erreicht!;316
60200819;Abfragelimit erreicht!;316
60200820;OK;1
60200821;Abfragelimit erreicht!;316
60200822;OK;1
60200823;Abfragelimit erreicht!;316
60200824;OK;1
60200825;Abfragelimit erreicht!;316
60200827;OK;1
60200828;OK;1
60200829;OK;1
60200830;OK;1
60200831;OK;1
60200832;Haltepunkt existiert nicht!;312
60200833;OK;1
60200835;OK;1
60200836;Abfragelimit erreicht!;316
60200838;OK;1
60200839;OK;1
60200840;OK;1
60200841;OK;1
60200842;OK;1
60200843;OK;1
60200844;OK;1
60200845;OK;1
60200846;OK;1
60200847;OK;1
60200848;OK;1
60200849;OK;1
60200850;OK;1
60200852;Abfragelimit erreicht!;316
60200853;Abfragelimit erreicht!;316
60200854;OK;1
60200855;OK;1
60200856;OK;1
60200858;OK;1
60200859;OK;1
60200860;OK;1
60200861;OK;1
60200862;OK;1
60200863;OK;1
60200865;OK;1
60200867;OK;1
60200868;OK;1
60200869;OK;1
60200870;OK;1
60200872;OK;1
60200873;OK;1
60200874;OK;1
60200875;Abfragelimit erreicht!;316
60200877;OK;1
60200878;OK;1
60200879;OK;1
60200880;OK;1
60200881;OK;1
60200883;OK;1
60200884;OK;1
60200885;OK;1
60200886;OK;1
60200887;OK;1
60200888;OK;1
60200889;OK;1
60200890;OK;1
60200891;OK;1
60200892;Haltepunkt existiert nicht!;312
60200893;OK;1
60200894;OK;1
60200895;OK;1
60200896;OK;1
60200897;OK;1
60200898;OK;1
60200899;OK;1
60200900;OK;1
60200901;Haltepunkt existiert nicht!;312
60200902;OK;1
60200903;OK;1
60200904;OK;1
60200905;OK;1
60200906;OK;1
60200907;OK;1
60200908;Abfragelimit erreicht!;316
60200909;OK;1
60200910;OK;1
60200911;OK;1
60200912;OK;1
60200913;OK;1
60200914;OK;1
60200916;OK;1
60200917;OK;1
60200918;OK;1
60200919;OK;1
60200920;OK;1
60200921;OK;1
60200922;OK;1
60200923;OK;1
60200924;OK;1
60200925;OK;1
60200927;OK;1
60200928;OK;1
60200929;OK;1
60200930;OK;1
60200931;OK;1
60200932;OK;1
60200933;OK;1
60200934;OK;1
60200935;OK;1
60200936;OK;1
60200937;OK;1
60200938;Abfragelimit erreicht!;316
60200939;OK;1
60200940;OK;1
60200941;Abfragelimit erreicht!;316
60200942;Abfragelimit erreicht!;316
60200943;OK;1
60200944;OK;1
60200945;Haltepunkt existiert nicht!;312
60200947;Abfragelimit erreicht!;316
60200948;OK;1
60200949;OK;1
60200950;Abfragelimit erreicht!;316
60200951;OK;1
60200952;OK;1
60200953;OK;1
60200954;Abfragelimit erreicht!;316
60200955;OK;1
60200956;OK;1
60200957;OK;1
60200958;OK;1
60200959;OK;1
60200960;OK;1
60200961;OK;1
60200962;OK;1
60200963;OK;1
60200964;OK;1
60200965;OK;1
60200966;OK;1
60200967;OK;1
60200968;OK;1
60200970;OK;1
60200971;OK;1
60200972;OK;1
60200973;OK;1
60200974;OK;1
60200975;OK;1
60200976;OK;1
60200977;Abfragelimit erreicht!;316
60200978;OK;1
60200979;OK;1
60200980;OK;1
60200981;OK;1
60200983;OK;1
60200984;Abfragelimit erreicht!;316
60200985;OK;1
60200986;Abfragelimit erreicht!;316
60200987;OK;1
60200988;Abfragelimit erreicht!;316
60200989;OK;1
60200990;OK;1
60200991;OK;1
60200992;OK;1
60200993;OK;1
60200994;OK;1
60200995;OK;1
60200996;OK;1
60200997;OK;1
60200998;OK;1
60200999;OK;1
60201000;OK;1
60201001;OK;1
60201002;OK;1
60201003;Haltepunkt existiert nicht!;312
60201004;OK;1
60201005;OK;1
60201007;OK;1
60201008;OK;1
60201009;OK;1
60201010;OK;1
